,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles
942,,Z24,14753-51-6,268.0,OC1=CC(Br)=C(O)C=C1Br,CO,Methanol,0.7556,0.0382,OC1=CC(Br)=C(O)C=C1Br.CO
943,,Z24,14753-51-6,268.0,OC1=CC(Br)=C(O)C=C1Br,CCOC(C)=O,Etyl acetate,0.382511539,0.071234662,OC1=CC(Br)=C(O)C=C1Br.CCOC(C)=O
944,4-bromo-2-(4-bromopyridin-2-yl)pyridine,Z27,18511-71-2,313.0,C1=CN=C(C=C1Br)C2=NC=CC(=C2)Br,CO,Methanol,0.8516,0.0218,C1=CN=C(C=C1Br)C2=NC=CC(=C2)Br.CO
945,,Z28,91-44-1,231.0,O=C1OC2=C(C=CC(N(CC)CC)=C2)C(C)=C1,CO,Methanol,0.9872,0.0037,O=C1OC2=C(C=CC(N(CC)CC)=C2)C(C)=C1.CO
946,,Z29,91-76-9,187.0,NC1=NC(N)=NC(C2=CC=CC=C2)=N1,CO,Methanol,0.7701,0.0115,NC1=NC(N)=NC(C2=CC=CC=C2)=N1.CO
947,,Z29,91-76-9,187.0,NC1=NC(N)=NC(C2=CC=CC=C2)=N1,CO,Methanol,0.6407,0.0912,NC1=NC(N)=NC(C2=CC=CC=C2)=N1.CO
948,"3,5-Dimethoxyaniline",Z3,10272-07-8,153.0,NC1=CC(OC)=CC(OC)=C1,CC#N,Acetonitrile,0.789497055,0.005159869,NC1=CC(OC)=CC(OC)=C1.CC#N
949,"3,5-Dimethoxyaniline",Z3,10272-07-8,153.0,NC1=CC(OC)=CC(OC)=C1,CO,Methanol,0.632,0.0586,NC1=CC(OC)=CC(OC)=C1.CO
950,,Z30,626-00-6,330.0,IC1=CC(I)=CC=C1,CO,Methanol,0.4111,0.0118,IC1=CC(I)=CC=C1.CO
952,,Z30,626-00-6,330.0,IC1=CC(I)=CC=C1,CO,Methanol,0.5589,0.0784,IC1=CC(I)=CC=C1.CO
953,,Z30,626-00-6,330.0,IC1=CC(I)=CC=C1,CCOC(C)=O,Etyl acetate,0.400685943,0.08134396,IC1=CC(I)=CC=C1.CCOC(C)=O
954,"2,6-Diacetylpyridine",Z31,1129-30-2,163.0,CC(=O)C1=NC(=CC=C1)C(=O)C,CO,Methanol,0.9012,0.0234,CC(=O)C1=NC(=CC=C1)C(=O)C.CO
955,Dimethyl aminoterephthalate,Z32,5372-81-6,209.0,O=C(OC)C1=CC=C(C(OC)=O)C=C1N,CO,Methanol,0.8011,0.0048,O=C(OC)C1=CC=C(C(OC)=O)C=C1N.CO
956,Dimethyl aminoterephthalate,Z32,5372-81-6,209.0,O=C(OC)C1=CC=C(C(OC)=O)C=C1N,CO,Methanol,0.8054,0.0252,O=C(OC)C1=CC=C(C(OC)=O)C=C1N.CO
957,Dimethyl aminoterephthalate,Z32,5372-81-6,209.0,O=C(OC)C1=CC=C(C(OC)=O)C=C1N,CC(C)=O,Acetone,0.941967043,0.026242146,O=C(OC)C1=CC=C(C(OC)=O)C=C1N.CC(C)=O
958,"1,3-Diiodobenzene",Z35,626-00-6,329.0,IC1=CC(I)=CC=C1,CO,Methanol,0.5103,0.0075,IC1=CC(I)=CC=C1.CO
959,"1,3-Diiodobenzene",Z35,626-00-6,329.0,IC1=CC(I)=CC=C1,CC(C)=O,Acetone,0.637662076,0.00778424,IC1=CC(I)=CC=C1.CC(C)=O
961,"1,3-Diiodobenzene",Z35,626-00-6,329.0,IC1=CC(I)=CC=C1,CO,Methanol,0.4421,0.0665,IC1=CC(I)=CC=C1.CO
962,"1,3-Diiodobenzene",Z35,626-00-6,329.0,IC1=CC(I)=CC=C1,CCOC(C)=O,Etyl acetate,0.261243479,0.121249775,IC1=CC(I)=CC=C1.CCOC(C)=O
963,,Z36,7226-23-5,128.0,O=C1N(C)CCCN1C,CO,Methanol,0.5232,0.0295,O=C1N(C)CCCN1C.CO
