,Unnamed: 0.1,Unnamed: 0,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles,dm300_err,dm300_measured
970,970.0,973.0,Rifaximin,AP63,80621-81-4,785.9,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)/C,CC(C)(C)OC,Methyl tert butyl ether,0.869273499,0.011483947,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)/C.CC(C)(C)OC,0.2399553156120492,0.6293181833879508
926,926.0,929.0,Perfluorobenzophenone,CB148,853-39-4,361.9789468,O=C(C1=C(F)C(F)=C(F)C(F)=C1F)C2=C(F)C(F)=C(F)C(F)=C2F,CCCCCCC,Heptane,0.007226313,0.067472734,O=C(C1=C(F)C(F)=C(F)C(F)=C1F)C2=C(F)C(F)=C(F)C(F)=C2F.CCCCCCC,0.23915666323661788,0.2463829762366179
473,473.0,474.0,Diphenylacetylene,CA150,501-65-5,178.23,C(#Cc1ccccc1)c1ccccc1,CCOC(C)=O,Etyl acetate,0.638306897,0.104816459,C(#Cc1ccccc1)c1ccccc1.CCOC(C)=O,0.2382269328401589,0.4000799641598411
1043,1043.0,1046.0,Avobenzone Pharmaceutical Secondary Stan (Avobenzone),AP12,70356-09-1,310.1568946,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,CC1CCCO1,2-Methly tetrahydrofurane,0.424866831,0.06623393,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC.CC1CCCO1,0.2257157476557058,0.6505825786557058
448,448.0,449.0,"3,4-Dichloroaniline",CB90,95-76-1,160.9799045,NC1=CC=C(Cl)C(Cl)=C1,CCOC(C)=O,Etyl acetate,0.424014561,0.123391143,NC1=CC=C(Cl)C(Cl)=C1.CCOC(C)=O,0.2165245779688823,0.2074899830311177
869,869.0,872.0,Biphenyl,N53,92-52-4,154.21,c1ccc(-c2ccccc2)cc1,CC1=CC=CC=C1,Toluene,0.274605541,0.037654989,c1ccc(-c2ccccc2)cc1.CC1=CC=CC=C1,0.21437844448687352,0.0602270965131265
766,766.0,769.0,9-(2-Hydroxyethyl)anthracene,CA139,54060-73-0,222.1044651,OCCC1=C2C=CC=CC2=CC3=CC=CC=C13,CC(O)C,2-Propanol,0.836932662,0.036710063,OCCC1=C2C=CC=CC2=CC3=CC=CC=C13.CC(O)C,0.21248070958047194,0.6244519524195281
868,868.0,871.0,9-(2-Hydroxyethyl)anthracene,CA139,54060-73-0,222.1044651,OCCC1=C2C=CC=CC2=CC3=CC=CC=C13,CC1=CC=CC=C1,Toluene,0.123899436,0.018708142,OCCC1=C2C=CC=CC2=CC3=CC=CC=C13.CC1=CC=CC=C1,0.2121584833127216,0.3360579193127216
512,512.0,513.0,"1,5-Difluoro-2,4-dinitrobenzene",CA61,327-92-4,203.998263,O=[N+](C1=C(F)C=C(F)C([N+]([O-])=O)=C1)[O-],CC(C)=O,Acetone,0.890880348,0.013721493,O=[N+](C1=C(F)C=C(F)C([N+]([O-])=O)=C1)[O-].CC(C)=O,0.21151342960222574,0.6793669183977743
984,984.0,987.0,Avobenzone Pharmaceutical Secondary Stan (Avobenzone),AP12,70356-09-1,310.1568946,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,CC(C)(C)OC,Methyl tert butyl ether,0.36404992,0.028753825,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC.CC(C)(C)OC,0.20866826728578353,0.1553816527142165
