,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles,dm300_err,dm300_measured
28,67,43,49,81,64,22,128,86,108,624,624,625,"3,5-Difluorobenzonitrile",CA78,64248-63-1,139.0233555,N#CC1=CC(F)=CC(F)=C1,CC#N,Acetonitrile,0.841273953,0.00430929,N#CC1=CC(F)=CC(F)=C1.CC#N,0.2151277717805805,0.6261461812194195
13,40,77,157,97,97,61,70,160,132,1155,1155,1158,"2-bromo-1,3-dimethylbenzene",Z117,576-22-7,185.0,CC1=C(C(=CC=C1)C)Br,O=CN(C)C,Dimethyl formamide,0.347835201,0.0082717,CC1=C(C(=CC=C1)C)Br.O=CN(C)C,0.21490503278401996,0.5627402337840199
71,56,71,83,58,69,72,45,74,198,512,512,513,"1,5-Difluoro-2,4-dinitrobenzene",CA61,327-92-4,203.998263,O=[N+](C1=C(F)C=C(F)C([N+]([O-])=O)=C1)[O-],CC(C)=O,Acetone,0.890880348,0.013721493,O=[N+](C1=C(F)C=C(F)C([N+]([O-])=O)=C1)[O-].CC(C)=O,0.2142488611723472,0.6766314868276528
102,45,66,85,90,117,110,112,260,61,973,973,976,Tebuconazole,RB40,107534-96-3,307.14514,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,CC(C)(C)OC,Methyl tert butyl ether,-0.150248486,0.237436582,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O.CC(C)(C)OC,0.21210153644019958,0.0618530504401996
20,17,41,56,14,73,81,104,99,140,6,6,6,nicotinic acid,AP20,59-67-6,123.03,O=C(O)C1=CN=CC=C1,CO,Methanol,0.2611,0.0089,O=C(O)C1=CN=CC=C1.CO,0.208585623838897,0.469685623838897
11,29,106,66,125,96,99,137,109,99,0,0,0,"3,5-Diaminobenzoic Acid",Z1,535-87-5,152.15,O=C(O)C1=CC(N)=CC(N)=C1,CO,Methanol,0.6452,0.0316,O=C(O)C1=CC(N)=CC(N)=C1.CO,0.2075875553461839,0.8527875553461839
42,31,76,33,112,60,48,18,82,92,354,354,355,,Z189,51934-41-9,276.0,CCOC(=O)C1=CC=C(C=C1)I,CO,Methanol,0.3708,0.0207,CCOC(=O)C1=CC=C(C=C1)I.CO,0.207064088531569,0.577864088531569
15,5,40,113,72,162,74,379,211,206,846,846,849,2-Methylpyridine,CD8,109-06-8,93.05784922,CC1=NC=CC=C1,CC1=CC=CC=C1,Toluene,0.030312224,0.030067244,CC1=NC=CC=C1.CC1=CC=CC=C1,0.2041213239809797,-0.1738090999809797
97,47,45,17,23,28,37,22,44,50,861,861,864,"2,5-Dimethylphenol",CQ44,95-87-4,122.0,OC1=CC(C)=CC=C1C,CC1=CC=CC=C1,Toluene,-0.173140171,0.036360271,OC1=CC(C)=CC=C1C.CC1=CC=CC=C1,0.20407222440495731,0.0309320534049573
14,4,2,4,49,132,58,84,143,200,78,78,78,p-Anisidine,CQ24,104-94-9,123.0684139,NC1=CC=C(OC)C=C1,CO,Methanol,0.5134,0.0404,NC1=CC=C(OC)C=C1.CO,0.20240110091139185,0.3109988990886081
91,63,119,165,161,133,177,156,172,148,485,485,486,4-Acetoamidophenol,AP37,103-90-2,151.0,OC1=CC=C(NC(C)=O)C=C1,CC(C)=O,Acetone,0.657765484,0.090252751,OC1=CC=C(NC(C)=O)C=C1.CC(C)=O,0.20171103299994286,0.8594765169999429
18,91,82,148,66,44,78,95,65,96,600,600,601,p-Anisidine,CQ24,104-94-9,123.0684139,NC1=CC=C(OC)C=C1,CC#N,Acetonitrile,0.215740629,0.032406071,NC1=CC=C(OC)C=C1.CC#N,0.1994525706048443,0.4151931996048443
10,39,54,53,41,71,132,116,136,114,736,736,739,"3,5-Difluorobenzonitrile",CA78,64248-63-1,139.0233555,N#CC1=CC(F)=CC(F)=C1,CC(O)C,2-Propanol,0.012857842,0.084687574,N#CC1=CC(F)=CC(F)=C1.CC(O)C,0.19826994644589488,0.2111277884458949
40,64,81,139,220,94,173,36,204,177,345,345,346,,Z62,6161-50-8,214.0,COC1=CC(C2=CC=CC(OC)=C2)=CC=C1,CO,Methanol,0.6134,0.0178,COC1=CC(C2=CC=CC(OC)=C2)=CC=C1.CO,0.196921488270428,0.8103214882704279
105,92,50,179,134,50,179,109,129,68,206,206,207,,Z43,150-78-7,138.0,COC1=CC=C(C=C1)OC,CO,Methanol,0.082,0.0017,COC1=CC=C(C=C1)OC.CO,0.1928213235708976,0.2748213235708976
93,130,99,65,150,171,100,315,100,80,404,404,405,"1,3,5-Trimethoxybenzene",CK30,621-23-8,168.0786442,COC1=CC(OC)=CC(OC)=C1,CO,Methanol,1.0,0.0,COC1=CC(OC)=CC(OC)=C1.CO,0.19113599576518503,0.808864004234815
174,132,113,306,307,189,292,225,231,135,1041,1041,1044,"2-Ethylhexyl 2-cyano-3,3-diphenylacrylate",CA81,6197-30-4,361.48,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,CC1CCCO1,2-Methly tetrahydrofurane,0.532942585,0.044407247,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1.CC1CCCO1,0.19105227211794085,0.7239948571179409
73,54,38,60,28,93,111,106,56,103,649,649,650,"2,5-Dimethylphenol",CQ25,95-87-4,122.0731649,OC1=CC(C)=CC=C1C,CC#N,Acetonitrile,0.483874954,0.008895022,OC1=CC(C)=CC=C1C.CC#N,0.19032794761517668,0.6742029016151767
90,111,7,63,57,35,71,162,103,48,63,63,63,"2,3-Diaminonaphthalene",CC2,771-97-1,158.0,NC1=CC=CC2=C(N)C=CC=C12,CO,Methanol,0.963,0.0014,NC1=CC=CC2=C(N)C=CC=C12.CO,0.187929969515228,0.775070030484772
82,122,60,164,230,216,210,135,237,144,492,492,493,Atenolol,AP1 ,29122-68-7,266.0,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,CC(C)=O,Acetone,0.792712931,0.03874108,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O.CC(C)=O,0.187539815675142,0.980252746675142
191,249,80,229,187,134,143,105,145,141,1139,1139,1142,"3-BROMOTOLUENE, 98%",D23,591-17-3,170.0,Cc1cccc(Br)c1,O=CN(C)C,Dimethyl formamide,0.188071461,0.008370968,Cc1cccc(Br)c1.O=CN(C)C,0.18722780550062823,0.3752992665006282
149,35,46,126,133,170,102,193,96,301,451,451,452,"2,5-dibromo-3,4-dinitrothiophene",CA29,52431-30-8,329.7945517,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],CCOC(C)=O,Etyl acetate,0.586941064,0.057342029,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-].CCOC(C)=O,0.18686244481755554,0.4000786191824445
39,43,139,161,101,165,158,287,228,229,696,696,699,4-Iodotoluene,CB87,624-31-7,218.03,Cc1ccc(I)cc1,CC#N,Acetonitrile,0.600417195,0.004660761,Cc1ccc(I)cc1.CC#N,0.18678880656015334,0.4136283884398467
122,78,93,109,160,144,192,229,142,303,427,427,428,,Z70,581-43-1,160.0,OC1=CC2=CC=C(O)C=C2C=C1,CCOC(C)=O,Etyl acetate,0.5960957,0.065802877,OC1=CC2=CC=C(O)C=C2C=C1.CCOC(C)=O,0.1863712618552028,0.4097244381447972
79,8,84,87,33,59,88,88,73,105,590,590,591,2-amino-5-nitrophenol,CP 28,121-88-0,154.0,C1=CC(=C(C=C1[N+](=O)[O-])O)N,CC#N,Acetonitrile,0.462912236,0.005711522,C1=CC(=C(C=C1[N+](=O)[O-])O)N.CC#N,0.18535201654551448,0.6482642525455145
29,69,92,38,9,82,133,145,69,164,522,522,523,4-bromophenol,Z135,106-41-2,173.0,C1=CC(=CC=C1O)Br,CC(C)=O,Acetone,0.780565213,0.003259476,C1=CC(=CC=C1O)Br.CC(C)=O,0.1851322618492347,0.5954329511507653
19,16,189,133,157,213,195,98,179,426,64,64,64,"1,5-Diaminonaphthalene",CK5,2243-62-1,158.0,C1=CC2=C(C=CC=C2N)C(=C1)N,CO,Methanol,0.591,0.0107,C1=CC2=C(C=CC=C2N)C(=C1)N.CO,0.184070030484772,0.775070030484772
103,198,169,171,199,100,287,214,212,472,931,931,934,"2,4-Diphenyl-4-methyl-1-pentene",CJ63,6362-80-7,236.35,CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2,CCCCCCC,Heptane,0.084143108,0.04763693,CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2.CCCCCCC,0.17869188882335718,-0.0945487808233572
49,19,20,40,127,166,109,127,127,210,665,665,666,"4,6-DIFLUOROINDOLE",RSY67,199526-97-1,153.1,C1=CNC2=CC(=CC(=C21)F)F,CC#N,Acetonitrile,0.509531594,0.007492381,C1=CNC2=CC(=CC(=C21)F)F.CC#N,0.17681035315337423,0.6863419471533743
206,242,136,376,317,345,366,272,472,175,1142,1142,1145,ANETHOL,Z156,4180-23-8,148.0,CC=CC1=CC=C(C=C1)OC,O=CN(C)C,Dimethyl formamide,0.294774699,0.02464438,CC=CC1=CC=C(C=C1)OC.O=CN(C)C,0.17601217675448583,0.4707868757544858
99,74,49,82,43,119,129,131,70,125,647,647,648,"2,5-Dimethylphenol",CQ44,95-87-4,122.0,OC1=CC(C)=CC=C1C,CC#N,Acetonitrile,0.499095038,0.034151157,OC1=CC(C)=CC=C1C.CC#N,0.17510786361517672,0.6742029016151767
119,162,178,111,252,218,160,224,236,242,685,685,687,"1-Bromo-3,5-dimethoxybenzene",Z55,20469-65-2,217.0,COC1=CC(OC)=CC(Br)=C1,CC#N,Acetonitrile,0.963795926,0.002278811,COC1=CC(OC)=CC(Br)=C1.CC#N,0.1745790361288896,0.7892168898711104
32,51,9,1,39,30,69,209,37,150,55,55,55,4-Hydroxy-3-methoxybenzyl alcohol,CO31,498-00-0,154.0629942,COC1=CC(CO)=CC=C1O,CO,Methanol,0.9663,0.005,COC1=CC(CO)=CC=C1O.CO,0.17320338247426836,0.7930966175257317
86,100,170,372,185,256,290,174,449,234,588,588,589,4-Hydroxy-3-methoxybenzyl alcohol,CO31,498-00-0,154.0629942,COC1=CC(CO)=CC=C1O,CC#N,Acetonitrile,0.645487459,0.032366807,COC1=CC(CO)=CC=C1O.CC#N,0.1725862953980256,0.8180737543980257
298,125,265,380,344,243,252,164,291,297,43,43,43,4-Hydroxyindole,RSY94,2380-94-1,133.15,C1=CC2=C(C=CN2)C(=C1)O,CO,Methanol,0.5323,0.0293,C1=CC2=C(C=CN2)C(=C1)O.CO,0.1711328785423133,0.7034328785423133
70,205,67,44,80,152,140,327,173,329,185,185,185,1-Indanol,CB65,6351-10-6,134.0731649,OC1CCC2=C1C=CC=C2,CO,Methanol,0.7463,0.0818,OC1CCC2=C1C=CC=C2.CO,0.1693457029161749,0.5769542970838251
26,41,13,9,8,9,26,27,48,6,864,864,867,Flavanone,CB140,487-26-3,224.0837296,O=C1CC(C2=CC=CC=C2)OC3=C1C=CC=C3,CC1=CC=CC=C1,Toluene,0.507277613,0.015132611,O=C1CC(C2=CC=CC=C2)OC3=C1C=CC=C3.CC1=CC=CC=C1,0.16919812869365097,0.338079484306349
55,121,48,41,82,76,56,157,227,314,1055,1055,1058,4-aminobenzonitrile,Z140,873-74-5,118.0,N#CC1=CC=C(N)C=C1,O=CN(C)C,Dimethyl formamide,0.552192455,0.018832287,N#CC1=CC=C(N)C=C1.O=CN(C)C,0.16887218586017694,0.3833202691398231
151,247,218,212,206,198,190,242,287,174,761,761,764,"4,4'-Difluorobenzophenone",CO28,345-92-6,218.0,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,CC(O)C,2-Propanol,0.369714528,0.041559094,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2.CC(O)C,0.16878620805241323,0.5385007360524132
153,57,103,184,205,207,215,168,254,445,770,770,773,mesitylene,CM6,108-67-8,120.19,CC1=CC(=CC(=C1)C)C,CC(O)C,2-Propanol,0.544131124,0.053846441,CC1=CC(=CC(=C1)C)C.CC(O)C,0.16843663632321149,0.3756944876767885
200,145,116,400,363,374,228,239,368,273,1105,1105,1108,,Z8,5779-95-3,134.0,O=CC1=CC(C)=CC(C)=C1,O=CN(C)C,Dimethyl formamide,0.478813339,0.016058154,O=CC1=CC(C)=CC(C)=C1.O=CN(C)C,0.16785925528031198,0.646672594280312
95,95,44,67,141,86,204,195,276,199,643,643,644,6-BROMOOXINDOLE,CA121,99365-40-9,210.9632759,O=C1NC2=C(C=CC(Br)=C2)C1,CC#N,Acetonitrile,0.630884447,0.00287929,O=C1NC2=C(C=CC(Br)=C2)C1.CC#N,0.1663420081758703,0.7972264551758703
65,14,184,45,140,143,209,269,334,269,671,671,672,2-Methylanisole,CJ7,578-58-5,122.0,COC1=CC=CC=C1C,CC#N,Acetonitrile,0.755744619,0.003690024,COC1=CC=CC=C1C.CC#N,0.1651213592949119,0.5906232597050881
12,27,56,25,61,62,157,130,117,160,1012,1012,1015,"2,5-Dimethylphenol",CQ25,95-87-4,122.0731649,OC1=CC(C)=CC=C1C,CC1CCCO1,2-Methly tetrahydrofurane,0.514654296,0.034166669,OC1=CC(C)=CC=C1C.CC1CCCO1,0.16429223782020114,0.3503620581797989
